id_question_pivot;reponse_prop
1;Quelles sont les conditions de validité du visa ?
1;Un visa est obligatoire ?
1;"Le visa est-il obligatoire pour ce voyage ? "
1;Faut-il un visa pour se rendre à ce Pays?
1;Faut-il avoir un visa pour aller à Bali ?
1;ai-je besoin d'un visa ?
2;Faut-il un passeport pour ce voyage ?
2;Ai je besoin de mon passeport ?
2;Est ce qu'un passeport valide est obligatoire ?
2;"Le passeport est-il nécessaire pour voyage à Bali ? "
2;Je dois avoir un passeport ?
2;Un passeport est obligatoire ?
3;Faut-il faire un test Covid avant de partir ?
3;Le test PCR est-il obligatoire pour entrer à Bali ?
3;"Faut-il faire le test PCR ? "
3;Avant combien d'heure du vol dois-je faire un test PCR?
3;Quelles sont les confitions pour prendre l'avions en cette période de coronavirus ?
3;est-ce obligatoire de faire un test de Corona ?
4;"Dois-je me faire vacciner pour aller à Bali ? "
4;Faut-il se faire vacciner ?
4;Quels vaccins sont obligatoires ?
4;Dois-je me vacciner avant de me rendre à Bali?
4;"Quels sont les vaccins à faire ? "
4;Il y a-t-il des vaccins obligatoires ?
5;Est ce que les cartes bancaires sont acceptées partout à Bali?
5;Est-ce que les CB françaises sont acceptées Bali ?
5;Ma carte bleue fonctionne-t-elle là bas ?
5;"Quels sont les moyens de paiement qui fonctionne sur place ? "
5;Est-ce que je peux payer par carte à Bali ?
5;Je peux utiliser ma carte bancaire à Bali ?
6;Ai je des frais supplémentaires pour retirer ?
6;Quels sont les frais pour les retrait de cash ?
6;"Comment faire pour ?viter les frais de retrait supplémentaire sur place ? "
6;Est-ce que les frais de retrait d'argent dans les distributeurs sont facturés?
6;"Quel est le % de frais supplémentaires lors d'un retrait ? "
6;Le retrait d'argent génère-t-il des frais supplémentaires ?
7;"Est-il nécessaire d'avoir du liquide sur soi ? "
7;Ai-je besoin de cash ?
7;Combien faut-il prévoir de cash sur place ?
7;Est-ce qu'il faut obligatoirement avoir de l'argent liquide ou la carte bancaire suffit?
7;Est-ce qu'il faut du liquide ?
7;Dois-je avoir de l'argent liquide sur moi ?
8;Quelles sont les conditions d'annulation du voyage?
8;Est-il possible d'annuler à n'importe quel moment ?
8;Puis-je annuler mon voyage ?
8;Quelles sont les conditions d'annulation ?
8;"Comment annuler mon voyage ? "
8;Est-ce possible d'annuler le voyage à tout moment ?
9;Quelle est la monnaie du pays ?
9;"Est-ce qu'ils acceptent les euros à Bali  ? "
9;Quelle est la monnaie sur place ?
9;Quel est le moyen d'échange ? Bali ?
9;Quelle est la devise locale ?
9;Quelle est le nom de la monnaie à Bali ?
10;Est-ce que je pourrais être rembours? en cas d'annulation du voyage?
10;Comment me faire rembourser si mon voyage est annulé ?
10;"Comment est-ce que je serais rembourser en cas d'annulation ? "
10;Si j'annule, comment suis-je remboursé ?
10;Comment se faire rembourser un voyage annulé?
10;Si mon voyage est annulé, comment suis-je remboursé ?
11;"Y a t'il des normes sanitaires particulières à respecter ? "
11;Quelles sont les réglementations sanitaires ?
11;Y'a-t-il des maladies ? Bali ?
11;Est-ce que l'eau de robinet est potable?
11;Est-ce que l'eau est potable ? Bali ?
11;Quelles recommandations sanitaires dois-je suivre ? Bali ?
12;Comment changer mon voyage ?
12;Je voudrais modifier ma réservation
12;"Que faire pour modifier ma réservation ? "
12;Est-ce qu'il y a moyen de modifier la réservation?
12;"Je veux modifier mon vol. "
12;Comment modifier mon billet
13;Que faire pour annuler ma réservation ?
13;Est-ce que je peux annuler ma réservation?
13;Je voudrais annuler ma réservation
13;"Comment faire une annulation pour mon vol   ? "
13;Je veux annuler mon vol
13;Comment annuler mon billet ?
14;Une assurance voyage est-elle obligée
14;Faut-il obligatoirement prendre une assurance.
14;"Faut-il forcement prendre une assurance voyage ? "
14;Est-ce que c'est obligatoire d'avoir une assurance voyage?
14;Est-ce que je dois avoir une assurance voyage ?
14;L'assurance de voyage est-elle obligatoire ?
15;Comment être pris en charge en cas de maladie ? Bali ?
15;Existe-t-il une Carte d'Assurance Maladie pour Bali ?
15;"Quel est l'?quivalent de la carte europ?enne ? l'?tranger ? "
15;Est ce qu'il y a une assurance maladie ? Bali ?
15;Est-ce qu'il y a une carte d'assurance maladie internationale ?
15;Est-ce-que je b?n?ficie d'un ?quivalent de carte d'assurance maladie ? Bali ?
16;Quelles sont les meilleures assurance pour ce voyage ?
16;Ou puis souscrire une assurance voyage ?
16;"Ou puis-je souscrire ? une assurance pour mon voyage ? "
16;Comment trouver une assurance voyage?
16;"Je veux une assurance voyage. "
